date,seed,kind,query,value
2026-06-04,авиабилеты минск,rising,авиабилеты минск алматы,130
2026-06-04,авиабилеты минск,rising,авиабилеты минск ереван,90
2026-06-04,авиабилеты минск,rising,авиабилеты минск грузия,60
2026-06-04,авиабилеты минск,top,авиабилеты минск москва,100
2026-06-04,авиабилеты минск,top,купить авиабилеты минск,71
2026-06-04,авиабилеты минск,top,авиабилеты минск стамбул,43
2026-06-04,авиабилеты минск,top,авиабилеты минск батуми,36
2026-06-04,авиабилеты минск,top,авиабилеты минск баку,22
2026-06-04,авиабилеты минск,top,авиабилеты минск ереван,17
2026-06-04,авиабилеты минск,top,авиабилеты минск алматы,14
2026-06-04,авиабилеты минск,top,авиабилеты минск грузия,13
2026-06-04,авиабилеты минск,top,авиабилеты минск калининград,12
2026-06-04,командировка,rising,как оплачивается командировка,70
2026-06-04,командировка,top,командировка рб,100
2026-06-04,командировка,top,командировка за границу,19
2026-06-04,командировка,top,командировка это,16
2026-06-04,командировка,top,как оплачивается командировка,12
2026-06-04,командировка,top,что такое командировка,3
